BackColor,526
Enabled,660
FilterTag,-
FilterText,-
FitToSize,-
Flashing,-
FocusColor,703
FocusWidth,704
ForeColor,-
GridLineColor,-
Height,-
IsRunningUnderCE,-
Layer,764
Left,770
LineAlarmView,-
Location,-
MessageAreaHeight,-
MessageAreaLeft,-
MessageAreaTop,-
MessageAreaWidth,-
Name,-
PaddingBottom,-
PaddingLeft,-
PaddingRight,-
PaddingTop,-
PreferredUseOnAck,-
S7Device,-
SelectionBackColor,-
SelectionForeColor,-
ShowAlarmsFromDate,-
ShowColumnHeaders,-
ShowHelpButton,-
ShowMilliseconds,-
ShowPendingAlarms,-
Size,-
SortByTimeDirection,-
SortByTimeEnabled,-
Style,-
StyleItem,-
TabIndex,-
TabIndexAlpha,-
TableBackColor,-
TableEvenRowBackColor,-
TableFont,-
TableForeColor,-
TableHeaderBackColor,993
TableHeaderBorderColor,-
TableHeaderEdgeStyle,-
TableHeaderFont,-
TableHeaderForeColor,995
TableHeaderPaddingLeft,-
TableHeaderPaddingTop,-
Text,-
ToolbarHeight,-
ToolbarLeft,-
ToolbarTop,-
ToolbarWidth,-
Top,1083
UseButtonFirstGradient,-
UseDesignColorSchema,-
VerticalScrollBarEnabled,-
VerticalScrollingEnabled,-
ViewType,-
ViewTypeForSaveStream,-
Visible,1204
Width,-
