AdaptBorder,498
AllTagTypesAllowed,-
Authorization,517
Back,-
BackColor,526
BackFillStyle,531
BackFlashingColorOff,-
BackFlashingColorOn,-
BackFlashingEnabled,-
BackFlashingRate,-
BitNumber,-
BorderBackColor,-
BorderBrightColor3D,-
BorderColor,562
BorderFlashingColorOff,-
BorderFlashingColorOn,-
BorderFlashingEnabled,-
BorderFlashingRate,-
BorderShadeColor3D,-
BorderStyle,576
BorderWidth,577
BorderWidth3D,-
CanBeGrouped,-
CornerRadius,-
CornerStyle,635
DeviceStyle,-
DrawInsideFrame,-
EdgeStyle,657
Enabled,660
FillPatternColor,-
FillingDirection,-
FirstGradientColor,-
FirstGradientOffset,-
FitToLargest,-
Flashing,-
FlashingColorOff,-
FlashingColorOn,-
FlashingEnabled,-
FlashingRate,699
FocusColor,703
FocusWidth,704
Font,-
FontBold,708
FontItalic,708
FontName,709
FontSize,711
FontUnderline,-
ForeColor,712
Height,720
HelpText,724
HorizontalAlignment,-
Hotkey,-
Layer,764
Left,770
LineEndShapeStyle,-
Location,-
MiddleGradientColor,-
Mode,824
Name,-
Off,1161
On,1161
PictureAlignment,-
PictureAreaLeftMargin,-
PictureAreaRightMargin,-
PictureAreaTopMargin,-
PictureAutoSizing,-
PictureList,-
PictureOff,866
PictureOn,867
Pressed,872
ProcessValue,874
RelativeFillLevel,-
SecondGradientColor,-
SecondGradientOffset,-
ShowFillLevel,933
Size,-
StyleItem,-
StyleSettings,982
TabIndex,-
TabIndexAlpha,-
TextAreaBottomMargin,-
TextAreaLeftMargin,-
TextOff,1002
TextOn,1003
TextOrientation,-
Toggle,1052
ToolTipText,1082
Top,1083
Transparency,1087
UseDesignColorSchema,-
UseFirstGradient,-
UseSecondGradient,-
UseTwoHandOperation,-
VerticalAlignment,-
Visible,1204
Width,1217
WindowsStyle,1224
