AngleMax,511
AngleMin,512
BackColor,526
BackFillStyle,531
BackPicture,538
BackStyle,538
BorderBackColor,-
BorderColor,-
BorderInnerStyle3D,-
BorderOuterStyle3D,-
BorderWidth,577
BorderWidth3D,-
Bounds,-
CanBeGrouped,-
CaptionColor,589
CaptionFont,589
CaptionText,590
CaptionTop,591
CenterColor,595
CenterSize,595
CompatibilityMode,-
CornerRadius,-
DangerRangeColor,-
DangerRangeStart,-
DangerRangeVisible,-
DeviceStyle,-
DialColor,649
DialFillStyle,650
DialPicture,650
DialSize,651
EdgeStyle,657
Enabled,660
Flashing,692
Gradation,716
Height,720
InnerDialColor,-
InnerDialInnerDistance,-
InnerDialOuterDistane,-
Layer,764
Left,770
LimitRangeCollection,-
Location,-
LockSquaredExtent,-
MaximumValue,-
MinimumValue,-
Name,827
NeedleHeight,-
NormalRangeColor,-
NormalRangeVisible,-
PointerColor,869
ProcessValue,874
ScaleLabelColor,-
ScaleLabelFont,-
ScaleTickColor,-
ScaleTickLabelPosition,-
ScaleTickLength,-
ScaleTickPosition,-
ShowDecimalPoint,928
ShowInnerDial,-
ShowLimitRanges,-
ShowPeakValuePointer,-
Size,-
StyleItem,-
TabIndex,-
TabIndexAlpha,-
Top,1083
Transparency,1087
UnitColor,1143
UnitFont,1143
UnitText,1144
UnitTop,1144
UseDesignColorSchema,-
Visible,1204
WarningRangeColor,-
WarningRangeStart,-
WarningRangeVisible,-
Width,1217
