Activate,1250
ActivateDynamic,1252
Authorization,517
BackColor,526
BorderBackColor,558
BorderColor,562
BorderFlashingColorOff,566
BorderFlashingColorOn,567
BorderFlashingEnabled,569
BorderStyle,576
BorderWidth,577
Color,1153
CornerStyle,635
DeactivateDynamic,1259
DrawInsideFrame,655
EdgeStyle,657
Enabled,660
FitToLargest,-
FlashTransparentColor,-
Flashing,-
FlashingEnabled,-
FlashingRate,699
FocusColor,703
FocusWidth,704
Height,720
HelpText,724
IsImageMiddleAligned,-
Layer,764
Left,770
LineEndShapeStyle,-
Location,-
Mode,-
Name,-
OnValue,-
PictureList,-
PictureOff,866
PictureOn,867
PictureRotation,-
ProcessValue,874
ScrollBarOrientation,-
ShowScrollBar,-
Size,-
TabIndex,-
TabIndexAlpha,-
ToolTipText,1082
Top,1083
Transparency,1087
TransparentColor,-
UseTransparentColor,-
Visible,1204
Width,1217
