AboveUpperLimitColor,490
AcceptOnExit,491
AcceptOnFull,491
AdaptBorder,498
AllTagTypesAllowed,-
AskOperationMotive,-
Authorization,-
BackColor,526
BackFillStyle,531
BackFlashingColorOff,-
BackFlashingColorOn,-
BackFlashingEnabled,-
BackFlashingRate,-
BelowLowerLimitColor,-
BorderBackColor,-
BorderColor,-
BorderFlashingColorOff,-
BorderFlashingColorOn,-
BorderFlashingEnabled,-
BorderFlashingRate,-
BorderStyle,576
BorderWidth,577
BorderWidth3D,-
BottomMargin,-
CanBeGrouped,-
ClearOnError,598
ClearOnFocus,598
CornerRadius,-
CornerStyle,635
CursorControl,639
DataFormat,642
EdgeStyle,657
EditOnFocus,659
Enabled,660
FieldLength,-
FillPatternColor,-
FitToLargest,-
Flashing,-
FlashingColorOff,-
FlashingColorOn,-
FlashingEnabled,-
FlashingRate,699
Font,-
FontBold,708
FontItalic,708
FontName,709
FontSize,711
FontUnderline,-
ForeColor,712
FormatPattern,-
Height,720
HelpText,724
HiddenInput,725
HorizontalAlignment,-
InputValue,747
Layer,764
Left,770
LeftMargin,-
LineEndShapeStyle,-
LineWrap,-
Location,-
LogOperation,794
LowerLimit,795
Mode,824
Name,-
ProcessValue,874
RightMargin,-
ShiftDecimalPoint,-
ShowBadTagState,-
ShowLeadingZeros,-
Size,-
StyleItem,-
TabIndex,-
TabIndexAlpha,-
TextOrientation,-
ToolTipText,1082
Top,1083
TopMargin,-
Transparency,1087
Unit,1142
UpperLimit,1145
UseDesignColorSchema,-
UseTagLimitColors,-
UseTwoHandOperation,-
VerticalAlignment,-
Visible,1204
Width,1217
