AcceptOnExit,491
Activate,1250
ActivateDynamic,1252
AdaptBorder,498
AllTagTypesAllowed,-
AskOperationMotive,-
Assignments,516
Authorization,517
BackColor,526
BackFillStyle,531
BackFlashingColorOff,-
BackFlashingColorOn,-
BackFlashingEnabled,-
BackFlashingRate,-
BelowLowerLimitColor,-
BitNumber,546
BorderBackColor,-
BorderColor,562
BorderFlashingColorOff,-
BorderFlashingColorOn,-
BorderFlashingEnabled,-
BorderFlashingRate,570
BorderStyle,576
BorderWidth,577
BottomMargin,-
CanBeGrouped,-
CaptionBackColor,-
CaptionColor,589
CornerRadius,-
CornerStyle,635
CountVisibleItems,-
CursorControl,639
DeactivateDynamic,1259
DeviceStyle,-
DrawInsideFrame,-
EdgeStyle,657
EditOnFocus,659
Enabled,660
EvenRowBackColor,-
ExtraHeightOffset,-
FillPatternColor,-
FitToLargest,-
Flashing,-
FlashingColorOff,-
FlashingColorOn,-
FlashingEnabled,-
FlashingRate,699
FontBold,708
FontItalic,708
FontName,709
FontSize,711
FontUnderline,-
ForeColor,712
Height,720
HelpText,724
HorizontalAlignment,-
InputValue,747
ItemBorderStyle,-
Layer,764
Left,770
LeftMargin,-
LineEndShapeStyle,-
Location,-
LogOperation,-
Mode,824
Name,-
OnValue,-
ProcessValue,874
RightMargin,-
SelectBackColor,-
SelectForeColor,-
SeparatorBackColor,-
SeparatorColor,-
SeparatorCornerStyle,-
SeparatorStyle,922
SeparatorWidth,922
ShowBadTagState,926
ShowDropDownButton,929
Style,921
TextList,1002
TextOff,-
TextOn,-
TextOrientation,-
ToolTipText,1082
Top,1083
TopMargin,-
Transparency,-
UseDesignColorSchema,-
VerticalAlignment,-
Visible,1204
Width,1217
